What they studied,count
Computer Science,"19,202"
Computational Science,"15,561"
"Business Administration and Management, General","11,916"
Economics,"9,898"
Electrical and Electronics Engineering,"8,363"
Mechanical Engineering,"7,106"
Mathematics,"6,243"
Entrepreneurship/Entrepreneurial Studies,"5,171"
Marketing,"5,087"
Project Management,"4,913"
"Finance, General","4,715"
"Design and Visual Communications, General","4,668"
Innovation,"4,488"
Organizational Leadership,"3,874"
"Business/Commerce, General","3,177"
